mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,pesticide,commodity_code,commodity_name
0.01,0.01 mg/Kg,1998,34,32,2003,,,,,,,"2,4-D",ML 0106,Milks
0.02,0.02 mg/Kg,2019,52,,2021,(*),,,,,,Fenazaquin,ML 0106,Milks
0.2,0.2 mg/Kg,2010,43,,2011,,,,,,,Bifenthrin,ML 0106,Milks
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,Propamocarb,ML 0106,Milks
0.01,0.01 mg/Kg,8,41,,2009,,,,,,,Azoxystrobin,ML 0106,Milks
0.0004,0.0004 mg/Kg,2003,37,36,2005,(*),,F,,The MRL is calculated as 4% of the LOQ for milk fat (0.01 mg/kg). Milk fat is the fraction of the milk that is analyzed (JMPR 2003).,,Cyprodinil,ML 0106,Milks
0.05,0.05 mg/Kg,2017,50,,2018,(*),,,,,,Quinclorac,ML 0106,Milks
0.01,0.01 mg/Kg,2015,48,,2016,(*),,,,,,Ethephon,ML 0106,Milks
0.01,0.01 mg/Kg,3,36,,2004,(*),,,,,,Tebufenozide,ML 0106,Milks
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Flufenoxuron,ML 0106,Milks
0.01,0.01 mg/Kg,5,38,,2006,(*),,F,,,,Fenhexamid,ML 0106,Milks
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Cyflumetofen,ML 0106,Milks
0.02,0.02 mg/Kg,2018,51,,2019,(*),,,,,,Imazalil,ML 0106,Milks
0.05,0.05 mg/Kg,9,42,,2010,,,,,,,Methoxyfenozide,ML 0106,Milks
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Glyphosate,ML 0106,Milks
0.02,0.02 mg/Kg,2018,51,,2019,(*),,,,,,Norflurazon,ML 0106,Milks
0.07,0.07 mg/Kg,10,43,,2011,,,,,,,Chlorothalonil,ML 0106,Milks
0.05,0.05 mg/Kg,2,36,35,2004,,,,,,,Carbaryl,ML 0106,Milks
0.1,0.1 mg/Kg,8,41,,2009,,,,,,,Imidacloprid,ML 0106,Milks
0.001,0.001 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,Diquat,ML 0106,Milks
0.03,0.03 mg/Kg,3,37,36,2005,,,F,,,,Famoxadone,ML 0106,Milks
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Dithianon,ML 0106,Milks
0.2,0.2 mg/Kg,8,41,,2009,,,,,,,Cyhalothrin (includes lambda-cyhalothrin),ML 0106,Milks
0.01,0.01 mg/Kg,2016,49,,2017,,,,,,,Spiromesifen,ML 0106,Milks
0.05,0.05 mg/Kg,7,40,,2008,,,,,,,Flusilazole,ML 0106,Milks
0.01,0.01 mg/Kg,12,45,,2013,(*),,,,,,Sedaxane,ML 0106,Milks
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Isoprothiolane,ML 0106,Milks
0.2,0.2 mg/Kg,2016,49,,2017,,,,,,,Bixafen,ML 0106,Milks
0.05,0.05 mg/Kg,10,43,,2011,,,,,,,Chlorantraniliprole,ML 0106,Milks
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Valifenalate,ML 0106,Milks
0.04,0.04 mg/Kg,2019,52,,2021,(*),,,,,,Metconazole,ML 0106,Milks
,,,,,,,,F,,,,Permethrin,ML 0106,Milks
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Mandestrobin,ML 0106,Milks
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Picoxystrobin,ML 0106,Milks
0.05,0.05 mg/Kg,98,38,"32,34,36,37",2006,(*),B,,,,,Carbendazim,ML 0106,Milks
0.01,0.01 mg/Kg,94,,,,(*),,,,,,Aldicarb,ML 0106,Milks
0.02,0.02 mg/Kg,,28,,1997,,,F,E,,,DDT,ML 0106,Milks
0.05,0.05 mg/Kg,7,40,,2008,(*),,,,,,Clofentezine,ML 0106,Milks
0.05,0.05 mg/Kg,8,41,,2009,,,,,The MRL accommodates external animal treatment.,,Cypermethrins (including alpha- and zeta- cypermethrin),ML 0106,Milks
0.01,0.01 mg/Kg,9,42,,2010,(*),,,,,,Buprofezin,ML 0106,Milks
0.02,0.02 mg/Kg,2012,45,,2013,,,,,,,Fluxapyroxad,ML 0106,Milks
0.01,0.01 mg/Kg,2017,50,,2018,,,,,,,Fenpropimorph,ML 0106,Milks
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Mesotrione,ML 0106,Milks
0.006,0.006 mg/Kg,,,,,,,F,E,,,Heptachlor,ML 0106,Milks
0.01,0.01 mg/Kg,2008,41,,2009,(*),,,,,,Profenofos,ML 0106,Milks
0.3,0.3 mg/Kg,2017,50,,2018,,,,,,,Chlormequat,ML 0106,Milks
0.05,0.05 mg/Kg,99,35,"33,34",2003,(*),,,,,Recommended for withdrawal,Clethodim,ML 0106,Milks
0.15,0.15 mg/Kg,2016,49,,2017,,,,,,,Flonicamid,ML 0106,Milks
0.02,0.02 mg/Kg,2018,51,,2019,,,,,,,Tioxazafen,ML 0106,Milks
0.005,0.005 mg/Kg,4,38,37,2006,(*),,,,,,Paraquat,ML 0106,Milks
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Isoxaflutole,ML 0106,Milks
0.7,0.7 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,ML 0106,Milks
0.05,0.05 mg/Kg,2004,37,,2005,(*),"c,m,p",,,,,Dithiocarbamates,ML 0106,Milks
0.2,0.2 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,ML 0106,Milks
0.01,0.01 mg/Kg,8,41,,2009,(*),,,,,,Chlorpropham,ML 0106,Milks
0.01,0.01 mg/Kg,9,43,,2011,(*),,,,,,Chlorpyrifos-Methyl,ML 0106,Milks
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Fenpyrazamine,ML 0106,Milks
0.01,0.01 mg/Kg,6,39,,2007,,,,,,,Quinoxyfen,ML 0106,Milks
0.03,0.03 mg/Kg,2018,51,,2019,,,,,,,Pyraclostrobin,ML 0106,Milks
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Penconazole,ML 0106,Milks
0.03,0.03 mg/Kg,2018,51,,2019,,,,,,,Chlorfenapyr,ML 0106,Milks
0.02,0.02 mg/Kg,2017,50,,2018,,,,,,,Spinetoram,ML 0106,Milks
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Imazapyr,ML 0106,Milks
0.01,0.01 mg/Kg,98,38,32-37,2006,(*),,,,,,Oxydemeton-Methyl,ML 0106,Milks
0.002,0.002 mg/Kg,,,,,,,F,E,,,Chlordane,ML 0106,Milks
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Phorate,ML 0106,Milks
0.3,0.3 mg/Kg,2018,51,,2019,,,,,,,Sulfoxaflor,ML 0106,Milks
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Metrafenone,ML 0106,Milks
0.1,0.1 mg/Kg,2013,46,,2014,,,,,,,Imazapic,ML 0106,Milks
0.01,0.01 mg/Kg,9,42,,2010,(*),,,,,,Fenbuconazole,ML 0106,Milks
0.01,0.01 mg/Kg,7,40,,2008,(*),,,,,,Dimethomorph,ML 0106,Milks
0.05,0.05 mg/Kg,6,39,,2007,,,,,,,Thiacloprid,ML 0106,Milks
0.4,0.4 mg/Kg,10,43,,2011,,,,,,,Novaluron,ML 0106,Milks
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,Triflumizole,ML 0106,Milks
0.02,0.02 mg/Kg,2018,51,,2019,(*),,,,,,Kresoxim-Methyl,ML 0106,Milks
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Fluensulfone,ML 0106,Milks
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Benzovindiflupyr,ML 0106,Milks
0.01,0.01 mg/Kg,"04,07",40,37-39,2008,,,,,,,Fenitrothion,ML 0106,Milks
0.1,0.1 mg/Kg,2,36,35,2004,(*),,F,,,,Propargite,ML 0106,Milks
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,ML 0106,Milks
0.02,0.02 mg/Kg,3,37,36,2005,,,,,,,Methamidophos,ML 0106,Milks
0.02,0.02 mg/Kg,7,40,,2008,,,,,,,Aminopyralid,ML 0106,Milks
0.01,0.01 mg/Kg,2014,47,,2015,,,,,,,Fenpropathrin,ML 0106,Milks
0.01,0.01 mg/Kg,,,,,(*),,,,The MRL accommodates external animal treatment.,,Amitraz,ML 0106,Milks
0.01,0.01 mg/Kg,2019,52,,2021,,,,,,,Cyclaniliprole,ML 0106,Milks
0.05,0.05 mg/Kg,9,42,,2010,,,,,,,Hexythiazox,ML 0106,Milks
0.05,0.05 mg/Kg,2,36,35,2004,,,F,,,,Deltamethrin,ML 0106,Milks
0.01,0.01 mg/Kg,7,40,,2008,,,,,,,Cyromazine,ML 0106,Milks
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,Recommended for withdrawal by JMPR (2021),Pydiflumetofen,ML 0106,Milks
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Fenamidone,ML 0106,Milks
0.02,0.02 mg/Kg,"96,99",,,1995,,,F,,The MRL accommodates external animal treatment.,,Diazinon,ML 0106,Milks
0.02,0.02 mg/Kg,11,44,,2012,,,,,,,Etofenprox,ML 0106,Milks
0.02,0.02 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,ML 0106,Milks
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Tolclofos-Methyl,ML 0106,Milks
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Triforine,ML 0106,Milks
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Imazethapyr,ML 0106,Milks
0.05,0.05 mg/Kg,99,33,,2001,(*),,,,,,Bitertanol,ML 0106,Milks
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Isofetamid,ML 0106,Milks
0.3,0.3 mg/Kg,9,43,,2011,,,,,,,Haloxyfop,ML 0106,Milks
0.1,0.1 mg/Kg,,,,,,,F,,,See edible offal.,Fenvalerate,ML 0106,Milks
0.02,0.02 mg/Kg,2013,46,,2014,,,,,,,Difenoconazole,ML 0106,Milks
0.15,0.15 mg/Kg,2018,51,,2019,,,,,,,Lufenuron,ML 0106,Milks
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Teflubenzuron,ML 0107,"Milk of cattle, goats & sheep"
0.05,0.05 mg/Kg,98,34,32,2003,(*),,,,,Recommended for withdrawal,Dimethoate,ML 0107,"Milk of cattle, goats & sheep"
0.02,0.02 mg/Kg,0,35,34,2003,,,,,,,Chlorpyrifos,ML 0107,"Milk of cattle, goats & sheep"
0.01,0.01 mg/Kg,94,35,28-34,2003,,,,,,,Disulfoton,ML 0107,"Milk of cattle, goats & sheep"
0.05,0.05 mg/Kg,96,30,,1999,,,F,V,On carcass fat basis. The MRL accommodates external animal treatment.,,Flumethrin,ML 0812,Cattle milk
1.0,1 mg/Kg,1,36,"34,35",2004,,,,,The MRL accommodates external animal treatment.,,Spinosad,ML 0812,Cattle milk
0.2,0.2 mg/Kg,"01,02",36,34,2004,,,,,The MRL accommodates external aninal treatment.,,Piperonyl Butoxide,ML 0812,Cattle milk
0.05,0.05 mg/Kg,1,36,"34,35",2004,,,,,,,Tebufenozide,ML 0812,Cattle milk
0.02,0.02 mg/Kg,1,35,34,2003,,,,,,Recommended for withdrawal by JMPR (2021),Fipronil,ML 0812,Cattle milk
0.2,0.2 mg/Kg,0,35,34,2003,,,,,,,Thiabendazole,ML 0812,Cattle milk
0.02,0.02 mg/Kg,2,36,35,2004,(*),,,,,,Deltamethrin,PE 0112,Eggs
0.01,0.01 mg/Kg,2015,48,,2016,(*),,,,,,Flutriafol,PE 0112,Eggs
0.01,0.01 mg/Kg,4,37,,2005,,,,,,,Pirimiphos-Methyl,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Tolclofos-Methyl,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Isofetamid,PE 0112,Eggs
0.03,0.03 mg/Kg,2012,46,45,2014,,,,,,,Penthiopyrad,PE 0112,Eggs
0.01,0.01 mg/Kg,2015,48,,2016,(*),,,,,,Ethephon,PE 0112,Eggs
0.03,0.03 mg/Kg,12,45,,2013,(*),,,,,,Ametoctradin,PE 0112,Eggs
0.005,0.005 mg/Kg,4,38,37,2006,(*),,,,,,Paraquat,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Saflufenacil,PE 0112,Eggs
0.05,0.05 mg/Kg,,,,1995,,,,,,,Fenbutatin Oxide,PE 0112,Eggs
0.01,0.01 mg/Kg,8,41,,2009,(*),,,,,,Azoxystrobin,PE 0112,Eggs
0.01,0.01 mg/Kg,11,44,,2012,(*),,,,,,Cypermethrins (including alpha- and zeta- cypermethrin),PE 0112,Eggs
0.05,0.05 mg/Kg,,,,,,,,E,,,Heptachlor,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Fluensulfone,PE 0112,Eggs
0.001,0.001 mg/Kg,2015,48,,2016,,,,E,,,Lindane,PE 0112,Eggs
0.01,0.01 mg/Kg,7,40,,2008,(*),,,,,,Dimethomorph,PE 0112,Eggs
0.05,0.05 mg/Kg,12,45,,2013,(*),,,,,,MCPA,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Buprofezin,PE 0112,Eggs
0.2,0.2 mg/Kg,2016,49,,2017,,,,,,,Chlorantraniliprole,PE 0112,Eggs
0.02,0.02 mg/Kg,2018,51,,2019,(*),,,,,,Tioxazafen,PE 0112,Eggs
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Dithianon,PE 0112,Eggs
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Dimethenamid-P,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Pyriofenone,PE 0112,Eggs
0.01,0.01 mg/Kg,99,33,,2001,(*),,,,,,Bitertanol,PE 0112,Eggs
0.02,0.02 mg/Kg,1,36,"34,35",2004,(*),,,,,,Tebufenozide,PE 0112,Eggs
0.01,0.01 mg/Kg,10,43,,2011,(*),,,,,,Dicamba,PE 0112,Eggs
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Metrafenone,PE 0112,Eggs
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Fenamidone,PE 0112,Eggs
0.01,0.01 mg/Kg,2,36,35,2004,(*),,,,,,Esfenvalerate,PE 0112,Eggs
0.15,0.15 mg/Kg,12,45,,2013,,,,,,,Cycloxydim,PE 0112,Eggs
0.05,0.05 mg/Kg,2018,51,,2019,,,,,,,Ethiprole,PE 0112,Eggs
0.03,0.03 mg/Kg,2013,46,,2014,,,,,,,Difenoconazole,PE 0112,Eggs
0.05,0.05 mg/Kg,99,35,33,2003,(*),,,,,Recommended for withdrawal,Clethodim,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Pendimethalin,PE 0112,Eggs
0.02,0.02 mg/Kg,9,42,,2010,,,,,,,Indoxacarb,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Mandestrobin,PE 0112,Eggs
0.02,0.02 mg/Kg,8,41,,2009,,,,,,,Imidacloprid,PE 0112,Eggs
0.02,0.02 mg/Kg,5,38,,2006,,,,,,,Methoprene,PE 0112,Eggs
0.1,0.1 mg/Kg,,28,,1997,,,,E,,,DDT,PE 0112,Eggs
0.15,0.15 mg/Kg,2015,48,,2016,,,,,,,Cyantraniliprole,PE 0112,Eggs
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Spinetoram,PE 0112,Eggs
0.05,0.05 mg/Kg,7,40,,2008,(*),,,,,Residues are not expected as dietary burden in poultry is zero (JMPR2007),Clofentezine,PE 0112,Eggs
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Acetochlor,PE 0112,Eggs
0.01,0.01 mg/Kg,9,43,,2011,(*),,,,,,Chlorpyrifos-Methyl,PE 0112,Eggs
0.01,0.01 mg/Kg,9,42,,2010,(*),,,,,,Fluopicolide,PE 0112,Eggs
0.3,0.3 mg/Kg,7,40,,2008,,,,,,,Cyromazine,PE 0112,Eggs
0.05,0.05 mg/Kg,2,36,35,2004,(*),,,,,,Flutolanil,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Benzovindiflupyr,PE 0112,Eggs
0.05,0.05 mg/Kg,2016,49,,2017,(*),,,,,,Penconazole,PE 0112,Eggs
0.03,0.03 mg/Kg,2016,49,,2017,,,,,,,Fluazifop-p-butyl,PE 0112,Eggs
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,Imazalil,PE 0112,Eggs
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Glyphosate,PE 0112,Eggs
0.01,0.01 mg/Kg,10,43,,2011,(*),,,,,Recommended for withdrawal by JMPR (2021),Thiamethoxam,PE 0112,Eggs
0.02,0.02 mg/Kg,2018,51,,2019,(*),,,,,,Norflurazon,PE 0112,Eggs
0.05,0.05 mg/Kg,12,45,,2013,(*),,,,,,Glufosinate-Ammonium,PE 0112,Eggs
0.01,0.01 mg/Kg,9,42,,2010,(*),,,,,,Fenbuconazole,PE 0112,Eggs
0.01,0.01 mg/Kg,11,44,,2012,(*),,,,,,Isopyrazam,PE 0112,Eggs
0.005,0.005 mg/Kg,2017,50,,2018,(*),,,,,Recommended for withdrawal by JMPR (2021),Prothioconazole,PE 0112,Eggs
0.01,0.01 mg/Kg,6,39,,2007,(*),,,,,,Quinoxyfen,PE 0112,Eggs
0.01,0.01 mg/Kg,1,35,34,2003,,,,,,,Spinosad,PE 0112,Eggs
0.05,0.05 mg/Kg,2,,,,(*),,,,,,Diflubenzuron,PE 0112,Eggs
0.05,0.05 mg/Kg,2004,37,,2005,(*),"C,p",,,,,Dithiocarbamates,PE 0112,Eggs
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Propamocarb,PE 0112,Eggs
0.01,0.01 mg/Kg,10,43,,2011,(*),,,,,,Cyproconazole,PE 0112,Eggs
0.1,0.1 mg/Kg,2,36,35,2004,(*),,,,,,Propargite,PE 0112,Eggs
0.01,0.01 mg/Kg,5,38,,2006,(*),,,,,,Terbufos,PE 0112,Eggs
0.05,0.05 mg/Kg,11,44,,2012,(*),,,,,,Tebuconazole,PE 0112,Eggs
0.02,0.02 mg/Kg,2016,49,,2017,,,,,,,Spiromesifen,PE 0112,Eggs
0.01,0.01 mg/Kg,11,44,,2012,,,,,,,Spirotetramat,PE 0112,Eggs
0.01,0.01 mg/Kg,7,40,,2008,(*),,,,,,Cyfluthrin/beta-cyfluthrin,PE 0112,Eggs
0.03,0.03 mg/Kg,2014,47,,2015,,FL,,,,,Dichlobenil,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Tolfenpyrad,PE 0112,Eggs
0.02,0.02 mg/Kg,9,42,,2010,,,,,,,Boscalid,PE 0112,Eggs
0.1,0.1 mg/Kg,10,43,,2011,,,,,,,Novaluron,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Afidopyropen,PE 0112,Eggs
0.05,0.05 mg/Kg,2004,38,37,2006,(*),,,,,,Pyraclostrobin,PE 0112,Eggs
0.1,0.1 mg/Kg,7,40,,2008,,,,,,,Flusilazole,PE 0112,Eggs
0.01,0.01 mg/Kg,7,40,,2008,(*),,,,Based on triadimefon and triadimenol uses,,Triadimefon,PE 0112,Eggs
0.01,0.01 mg/Kg,12,45,,2013,(*),,,,,,Dichlorvos,PE 0112,Eggs
0.01,0.01 mg/Kg,0,35,34,2003,(*),,,,,,Chlorpyrifos,PE 0112,Eggs
0.02,0.02 mg/Kg,2019,52,,2021,,,,,,Recommended for withdrawal by JMPR (2021),Pydiflumetofen,PE 0112,Eggs
0.02,0.02 mg/Kg,2018,51,,2019,(*),,,,,,Kresoxim-Methyl,PE 0112,Eggs
0.01,0.01 mg/Kg,6,39,,2007,(*),,,,,,Pirimicarb,PE 0112,Eggs
0.01,0.01 mg/Kg,10,44,43,2012,(*),"C,t",,,,Recommended for withdrawal by JMPR (2021),Clothianidin,PE 0112,Eggs
0.02,0.02 mg/Kg,2008,41,,2009,(*),,,,,,Profenofos,PE 0112,Eggs
0.05,0.05 mg/Kg,9,42,,2010,,,,,,,Hexythiazox,PE 0112,Eggs
0.01,0.01 mg/Kg,12,45,,2013,(*),,,,,,Sedaxane,PE 0112,Eggs
0.02,0.02 mg/Kg,2018,51,,2019,,,,,,,Fludioxonil,PE 0112,Eggs
0.01,0.01 mg/Kg,3,37,36,2005,,,,,,,Methoxyfenozide,PE 0112,Eggs
0.7,0.7 mg/Kg,2016,49,,2017,,,,,,,Flupyradifurone,PE 0112,Eggs
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,Oxathiapiprolin,PE 0112,Eggs
0.01,0.01 mg/Kg,11,44,,2012,(*),,,,,,Acetamiprid,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Teflubenzuron,PE 0112,Eggs
0.05,0.05 mg/Kg,2017,50,,2018,(*),,,,,,Quinclorac,PE 0112,Eggs
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Trinexapac-ethyl,PE 0112,Eggs
0.05,0.05 mg/Kg,"04,07",40,37-39,2008,(*),,,,,,Fenitrothion,PE 0112,Eggs
0.01,0.01 mg/Kg,3,37,36,2005,(*),,,,,,Methamidophos,PE 0112,Eggs
0.01,0.01 mg/Kg,3,37,36,2005,(*),,,,,,Acephate,PE 0112,Eggs
0.005,0.005 mg/Kg,2017,50,,2018,(*),,,,,,Fenpropimorph,PE 0112,Eggs
0.01,0.01 mg/Kg,6,39,,2007,(*),,,,,,Bifenazate,PE 0112,Eggs
0.02,0.02 mg/Kg,,,,,,,,E,,,Chlordane,PE 0112,Eggs
0.1,0.1 mg/Kg,4,37,,2005,,,,,,,Prochloraz,PE 0112,Eggs
0.02,0.02 mg/Kg,12,45,,2013,(*),,,,,,Dinotefuran,PE 0112,Eggs
0.02,0.02 mg/Kg,2015,48,,2016,(*),,,,,,Flumioxazin,PE 0112,Eggs
0.05,0.05 mg/Kg,3,37,36,2005,(*),,,,,,Carbosulfan,PE 0112,Eggs
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Bentazone,PE 0112,Eggs
0.1,0.1 mg/Kg,,,,,,,,E,,,Aldrin and Dieldrin,PE 0112,Eggs
1.0,1 mg/Kg,"01,02",36,34,2004,,,,,The MRL accommodates external aninal treatment.,,Piperonyl Butoxide,PE 0112,Eggs
0.1,0.1 mg/Kg,97,33,,2001,,,,,,,Thiabendazole,PE 0112,Eggs
0.05,0.05 mg/Kg,98,38,"32,34,36,37",2006,(*),B,,,,,Carbendazim,PE 0112,Eggs
0.01,0.01 mg/Kg,2018,51,,2019,,,,,,,Chlorfenapyr,PE 0112,Eggs
0.01,0.01 mg/Kg,7,40,,2008,(*),,,,,Based on triadimefon and triadimenol uses,Triadimenol,PE 0112,Eggs
0.03,0.03 mg/Kg,6,39,,2007,(*),,,,,,Endosulfan,PE 0112,Eggs
0.01,0.01 mg/Kg,1998,32,,2001,(*),,,,,,"2,4-D",PE 0112,Eggs
0.01,0.01 mg/Kg,2003,37,36,2005,(*),,,,,,Cyprodinil,PE 0112,Eggs
0.1,0.1 mg/Kg,,,,,,,,,,,Permethrin,PE 0112,Eggs
0.05,0.05 mg/Kg,98,38,32-37,2006,(*),,,,,,Oxydemeton-Methyl,PE 0112,Eggs
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Isoxaflutole,PE 0112,Eggs
0.01,0.01 mg/Kg,99,36,33-35,2004,(*),,,,,,Fenamiphos,PE 0112,Eggs
0.01,0.01 mg/Kg,11,44,,2012,(*),,,,,,Etofenprox,PE 0112,Eggs
0.1,0.1 mg/Kg,9,43,,2011,,,,,,,Haloxyfop,PE 0112,Eggs
0.01,0.01 mg/Kg,3,37,36,2005,(*),,,,,,Famoxadone,PE 0112,Eggs
0.02,0.02 mg/Kg,6,39,,2007,(*),,,,,,Thiacloprid,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Cyclaniliprole,PE 0112,Eggs
0.01,0.01 mg/Kg,2019,52,,2021,(*),,,,,,Valifenalate,PE 0112,Eggs
0.02,0.02 mg/Kg,2019,52,,2021,,,,,,,Metaflumizone,PE 0112,Eggs
0.04,0.04 mg/Kg,4,38,37,2006,(*),,,,,Recommended for withdrawal by JMPR (2021),Trifloxystrobin,PE 0112,Eggs
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Myclobutanil,PE 0112,Eggs
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Picoxystrobin,PE 0112,Eggs
0.15,0.15 mg/Kg,2016,49,,2017,,,,,,,Flonicamid,PE 0112,Eggs
0.03,0.03 mg/Kg,98,34,32,2003,(*),,,,,,Quintozene,PE 0112,Eggs
0.05,0.05 mg/Kg,2019,52,,2021,(*),,,,,,Fosetyl Al,PE 0112,Eggs
0.05,0.05 mg/Kg,2016,49,,2017,,,,,,,Bixafen,PE 0112,Eggs
0.01,0.01 mg/Kg,1,35,,2003,(*),,,,,,Dimethipin,PE 0112,Eggs
0.02,0.02 mg/Kg,2016,49,,2017,(*),,,,,,Pinoxaden,PE 0112,Eggs
0.01,0.01 mg/Kg,7,40,,2008,(*),,,,,,Aminopyralid,PE 0112,Eggs
0.04,0.04 mg/Kg,2019,52,,2021,(*),,,,,,Metconazole,PE 0112,Eggs
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,Mandipropamid,PE 0112,Eggs
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,,,Imazapic,PE 0112,Eggs
0.01,0.01 mg/Kg,2007,40,,2008,(*),,,,,,Propiconazole,PE 0112,Eggs
0.02,0.02 mg/Kg,,36,"34,35",2004,(*),,,,,,Methomyl,PE 0112,Eggs
0.02,0.02 mg/Kg,2012,45,,2013,,,,,,,Fluxapyroxad,PE 0112,Eggs
0.02,0.02 mg/Kg,2015,48,,2016,,,,,,,Lufenuron,PE 0112,Eggs
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Mesotrione,PE 0112,Eggs
0.01,0.01 mg/Kg,2017,50,,2018,(*),,,,,,Triflumezopyrim,PE 0112,Eggs
0.05,0.05 mg/Kg,98,34,32,2003,(*),,,,,Recommended for withdrawal,Dimethoate,PE 0112,Eggs
0.01,0.01 mg/Kg,17,50,,2018,(*),,,,,,Bicyclopyrone,PE 0112,Eggs
2.0,2 mg/Kg,2017,50,,2018,,,,,,,Fluopyram,PE 0112,Eggs
0.01,0.01 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,Diquat,PE 0112,Eggs
0.01,0.01 mg/Kg,2016,49,,2017,(*),,,,,,Imazethapyr,PE 0112,Eggs
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Fenpropathrin,PE 0112,Eggs
0.02,0.02 mg/Kg,1,35,34,2003,,,,,,Recommended for withdrawal by JMPR (2021),Fipronil,PE 0112,Eggs
0.02,0.02 mg/Kg,2016,49,,2017,(*),,,,,,Acibenzolar-S-methyl,PE 0112,Eggs
0.05,0.05 mg/Kg,5,38,,2006,(*),,,,,,Phorate,PE 0112,Eggs
0.1,0.1 mg/Kg,2011,45,44,2013,,,,,,,Sulfoxaflor,PE 0112,Eggs
0.01,0.01 mg/Kg,2014,47,,2015,(*),,,,,,Imazamox,PE 0112,Eggs
