mrl,mrl_formatted,jmpr,ccpr,prior_ccpr,cac_year,lod,source_of_res,fat_ph,tev,footnote,footnote_ccpr,step,pesticide,commodity_code,commodity_name
0.2,0.2 mg/Kg,2004,38,37,2006,,,,,,,CXL,Pyraclostrobin,GC 0654,Wheat
0.07,0.07 mg/Kg,2018,51,,2019,,,,,,,CXL,Pyraclostrobin,OC 0305,"Olive oil, virgin"
0.3,0.3 mg/Kg,2006,39,,2007,,,,,,,CXL,Pyraclostrobin,VB 0402,Brussels sprouts
0.2,0.2 mg/Kg,2006,39,,2007,,,,,,,CXL,Pyraclostrobin,VC 4199,Cantaloupe
0.05,0.05 mg/Kg,2018,51,,2019,,,,,,,CXL,Pyraclostrobin,MO 0105,Edible offal (mammalian)
0.8,0.8 mg/Kg,2014,47,,2015,,,,,(includes all commodities in this subgroup),,CXL,Pyraclostrobin,FS 0014,Plums (including fresh prunes) (subgroup)
0.01,0.01 mg/Kg,2018,51,,2019,,,,,,,CXL,Pyraclostrobin,VP 0523,"Broad bean, without pods (succulent seeds)"
50.0,50 mg/Kg,2004,38,37,2006,,,,,,,CXL,Pyraclostrobin,AL 0697,Peanut fodder
3.0,3 mg/Kg,2011,44,,2012,,,,,,,CXL,Pyraclostrobin,FB 0272,"Raspberries, red, black"
0.01,0.01 mg/Kg,2018,51,,2019,,,,,,,CXL,Pyraclostrobin,SO 0305,Olives for oil production
0.03,0.03 mg/Kg,2018,51,,2019,,,,,,,CXL,Pyraclostrobin,CM 1205,"Rice, polished"
30.0,30 mg/Kg,2011,44,,2012,,,,,,,CXL,Pyraclostrobin,AL 1020,Alfalfa fodder
4.0,4 mg/Kg,2011,44,,2012,,,,,,,CXL,Pyraclostrobin,FB 0020,Blueberries
0.2,0.2 mg/Kg,2004,38,37,2006,,,,,,,CXL,Pyraclostrobin,VD 0071,Beans (dry)
0.3,0.3 mg/Kg,2014,47,,2015,,,,,,,CXL,Pyraclostrobin,FS 2001,Peaches (including apricots and nectarine) (subgroup)
0.02,0.02 mg/Kg,2004,38,37,2006,(*),,,,,,CXL,Pyraclostrobin,SO 0703,"Peanut, whole"
2.0,2 mg/Kg,2004,38,37,2006,,,,,,,CXL,Pyraclostrobin,FB 0269,Grapes
1.0,1 mg/Kg,2004,38,37,2006,,,,,,,CXL,Pyraclostrobin,TN 0675,Pistachio nuts
0.3,0.3 mg/Kg,2004,38,37,2006,,,,,,,CXL,Pyraclostrobin,VO 0448,Tomato
0.3,0.3 mg/Kg,2006,39,,2007,,,,,,,CXL,Pyraclostrobin,VO 0440,Egg plant
15.0,15 mg/Kg,2006,39,,2007,,,,,,,CXL,Pyraclostrobin,DH 1100,"Hops, dry"
1.0,1 mg/Kg,2006,39,,2007,,,,,,,CXL,Pyraclostrobin,VL 0480,"Kale (Collards, curly kale, Scotch kale, thousand-headed kale; not including Marrow-stem kele)"
0.02,0.02 mg/Kg,2004,38,37,2006,(*),,,,,,CXL,Pyraclostrobin,FI 0327,Banana
0.05,0.05 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,VO 0445,"Peppers, sweet (including pimento or pimiento)"
0.01,0.01 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,GC 0654,Wheat
0.1,0.1 mg/Kg,,37,,2005,,,,,,,CXL,Quintozene,HS 0190,"Spices, seeds"
0.01,0.01 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,SO 0691,Cotton seed
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,GC 0640,Barley
0.02,0.02 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,VO 0448,Tomato
0.01,0.01 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,AS 0645,Maize fodder (dry)
0.02,0.02 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,VD 0526,Common bean (dry)
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,VR 0596,Sugar beet
0.05,0.05 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,VB 0400,Broccoli
0.1,0.1 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,VP 0526,Common bean (pods and/or immature seeds)
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,VD 0541,Soya bean (dry)
0.05,0.05 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,AL 0072,Pea hay or pea fodder (dry)
0.1,0.1 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,PO 0840,"Chicken, edible offal of"
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,AL 0541,Soya bean fodder
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,AS 0640,"Barley, hay and/or straw"
0.1,0.1 mg/Kg,98,34,32,2003,(*),,(fat),,,,CXL,Quintozene,PM 0840,Chicken meat
2.0,2 mg/Kg,,37,,2005,,,,,,,CXL,Quintozene,HS 0193,"Spices, roots and rhizomes"
0.1,0.1 mg/Kg,4,38,37,2006,,,,,,,CXL,Quintozene,HS 0444,"Peppers chili, dried"
0.01,0.01 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,VD 0072,Peas (dry)
0.1,0.1 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,VB 0041,"Cabbages, head"
0.03,0.03 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,AS 0654,"Wheat, hay and/or straw"
0.5,0.5 mg/Kg,98,34,32,2003,,,,,,,CXL,Quintozene,SO 0697,Peanut
0.01,0.01 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,GC 0645,Maize
0.03,0.03 mg/Kg,98,34,32,2003,(*),,,,,,CXL,Quintozene,PE 0112,Eggs
0.02,0.02 mg/Kg,,37,,2005,,,,,,,CXL,Quintozene,HS 0191,"Spices, fruits and berries"
50.0,50 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,VL 0494,Radish leaves (including radish tops)
1.0,1 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,SO 0703,"Peanut, whole"
1.0,1 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,VC 0045,"Fruiting vegetables, cucurbits (group)"
0.05,0.05 mg/Kg,1,36,34,2004,,,,,,,CXL,Piperonyl Butoxide,JF 0001,Citrus juice
0.2,0.2 mg/Kg,2,36,,2004,,,,,Except cattle kidney,,CXL,Piperonyl Butoxide,MO 0098,"Kidney of cattle, goats, pigs and sheep"
0.2,0.2 mg/Kg,"01,02",36,34,2004,,,,,The MRL accommodates external aninal treatment.,,CXL,Piperonyl Butoxide,ML 0812,Cattle milk
5.0,5 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,FC 0001,Citrus fruits (group)
10.0,10 mg/Kg,2,36,34,2004,,,PoP,,,,CXL,Piperonyl Butoxide,CF 1211,Wheat flour
30.0,30 mg/Kg,"01,02",36,34,2004,,,Po,,,,CXL,Piperonyl Butoxide,GC 0080,Cereal grains
20.0,20 mg/Kg,4,38,37,2006,,,,,,,CXL,Piperonyl Butoxide,HS 0444,"Peppers chili, dried"
2.0,2 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,VO 0448,Tomato
50.0,50 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,VL 0483,"Lettuce, leaf"
80.0,80 mg/Kg,2,36,34,2004,,,PoP,,,,CXL,Piperonyl Butoxide,CM 0654,"Wheat bran, unprocessed"
5.0,5 mg/Kg,"01,02",36,34,2004,,,(fat),,The MRL accommodates external aninal treatment.,,CXL,Piperonyl Butoxide,MM 0812,Cattle meat
90.0,90 mg/Kg,2,36,34,2004,,,PoP,,,,CXL,Piperonyl Butoxide,CF 1210,Wheat germ
2.0,2 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,VO 0051,Peppers (subgroup)
2.0,2 mg/Kg,2,36,,2004,,,(fat),,Except cattle meat,,CXL,Piperonyl Butoxide,MM 0095,Meat (from mammals other than marine mammals)
1.0,1 mg/Kg,2,36,,2004,,,,,,,CXL,Piperonyl Butoxide,MO 0099,"Liver of cattle, goats, pigs & sheep"
0.5,0.5 mg/Kg,"01,02",36,34,2004,,,,,Except carrot,,CXL,Piperonyl Butoxide,VR 0075,Root and tuber vegetables (group)
1.0,1 mg/Kg,1,36,34,2004,,,,,,,CXL,Piperonyl Butoxide,MO 1281,Cattle liver
1.0,1 mg/Kg,"01,02",36,34,2004,,,,,The MRL accommodates external aninal treatment.,,CXL,Piperonyl Butoxide,PE 0112,Eggs
200.0,200 mg/Kg,"01,02",36,34,2004,,,,dry wt,,,CXL,Piperonyl Butoxide,AL 0072,Pea hay or pea fodder (dry)
50.0,50 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,VL 0485,Mustard greens
0.05,0.05 mg/Kg,,36,34,2004,,,F,,,,CXL,Piperonyl Butoxide,ML 0106,Milks
80.0,80 mg/Kg,"01,02",36,34,2004,,,PoP,,,,CXL,Piperonyl Butoxide,OC 0645,"Maize oil, crude"
10.0,10 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,PO 0111,"Poultry, edible offal of"
0.2,0.2 mg/Kg,"01,02",36,34,2004,,,Po,,,,CXL,Piperonyl Butoxide,VD 0070,Pulses (group)
7.0,7 mg/Kg,2,36,34,2004,,,(fat),,The MRL accommodates external aninal treatment.,,CXL,Piperonyl Butoxide,PM 0110,Poultry meat
30.0,30 mg/Kg,"01,02",36,34,2004,,,PoP,,,,CXL,Piperonyl Butoxide,CF 1212,Wheat wholemeal
0.3,0.3 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,JF 0448,Tomato juice
0.3,0.3 mg/Kg,"01,02",36,34,2004,,,,,The MRL accommodates external aninal treatment.,,CXL,Piperonyl Butoxide,MO 1280,Cattle kidney
50.0,50 mg/Kg,"01,02",36,34,2004,,,,,,,CXL,Piperonyl Butoxide,VL 0502,Spinach
0.2,0.2 mg/Kg,"01,02",36,34,2004,,,Po,,,,CXL,Piperonyl Butoxide,DF 0167,Dried fruits
0.05,0.05 mg/Kg,0,34,,2003,(*),,,,,,CXL,Pyrethrins,VC 0045,"Fruiting vegetables, cucurbits (group)"
0.2,0.2 mg/Kg,0,35,34,2003,,,Po,,,,CXL,Pyrethrins,DF 0167,Dried fruits
0.5,0.5 mg/Kg,5,38,,2006,(*),,Po,,,,CXL,Pyrethrins,TN 0085,Tree nuts (group)
0.1,0.1 mg/Kg,0,35,34,2003,,,Po,,,,CXL,Pyrethrins,VD 0070,Pulses (group)
0.3,0.3 mg/Kg,3,36,,2004,,,Po,,,,CXL,Pyrethrins,GC 0080,Cereal grains
0.05,0.05 mg/Kg,0,34,,2003,(*),,,,,,CXL,Pyrethrins,VO 0051,Peppers (subgroup)
1.0,1 mg/Kg,0,34,,2003,,,,,,,CXL,Pyrethrins,AL 0072,Pea hay or pea fodder (dry)
0.05,0.05 mg/Kg,0,34,,2003,(*),,,,,,CXL,Pyrethrins,VR 0075,Root and tuber vegetables (group)
0.05,0.05 mg/Kg,0,34,,2003,(*),,,,,,CXL,Pyrethrins,VO 0448,Tomato
0.05,0.05 mg/Kg,0,34,,2003,,,,,,,CXL,Pyrethrins,FC 0001,Citrus fruits (group)
0.5,0.5 mg/Kg,0,34,,2003,,,Po,,,,CXL,Pyrethrins,SO 0697,Peanut
0.5,0.5 mg/Kg,4,38,37,2006,,,,,,,CXL,Pyrethrins,HS 0444,"Peppers chili, dried"
40.0,40 mg/Kg,2018,51,,2019,,,(dw),,,,CXL,Diquat,AS 0653,"Triticale, hay and/or straw"
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,FT 0292,Cashew apple
0.4,0.4 mg/Kg,2018,51,,2019,,,,,,,CXL,Diquat,VD 2065,Dry beans (subgroup)
0.9,0.9 mg/Kg,2018,51,,2019,,,,,,,CXL,Diquat,VD 0524,Chick-pea (dry)
1.5,1.5 mg/Kg,2018,51,,2019,,,,,,,CXL,Diquat,AB 0541,Soya bean hulls
0.01,0.01 mg/Kg,2013,46,,2014,(*),,,,"(except sweetcorn, fungi and mushrooms)",,CXL,Diquat,VO 0050,"Fruiting vegetables, other than cucurbits (group)"
1.5,1.5 mg/Kg,2018,51,,2019,,,,,,,CXL,Diquat,GC 0653,Triticale
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,SB 0716,Coffee beans
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,CXL,Diquat,PF 0111,Poultry fats
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,FI 0327,Banana
50.0,50 mg/Kg,2013,46,,2014,,,,,,,CXL,Diquat,AL 0072,Pea hay or pea fodder (dry)
40.0,40 mg/Kg,2018,51,,2019,,,(dw),,,,CXL,Diquat,AS 0650,"Rye straw and fodder, dry"
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,FS 0012,Stone fruits (group)
0.01,0.01 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,CXL,Diquat,MM 0095,Meat (from mammals other than marine mammals)
5.0,5 mg/Kg,2018,51,,2019,,,,,,,CXL,Diquat,GC 0640,Barley
0.01,0.01 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,CXL,Diquat,PM 0110,Poultry meat
0.05,0.05 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,FB 0275,Strawberry
0.9,0.9 mg/Kg,2018,51,,2019,,,,,"(except chick-peas, dry)",,CXL,Diquat,VD 2066,Dry peas (subgroup)
0.9,0.9 mg/Kg,2013,46,,2014,,,,,,,CXL,Diquat,SO 0702,Sunflower seed
1.5,1.5 mg/Kg,2018,51,,2019,,,,,,,CXL,Diquat,GC 0650,Rye
0.01,0.01 mg/Kg,2018,51,,2019,(*),,,,,,CXL,Diquat,MF 0100,Mammalian fats (except milk fats)
0.01,0.01 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,CXL,Diquat,MO 0105,Edible offal (mammalian)
40.0,40 mg/Kg,2018,51,,2019,,,(dw),,,,CXL,Diquat,AS 0640,"Barley, hay and/or straw"
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,FC 0001,Citrus fruits (group)
1.5,1.5 mg/Kg,2013,46,,2014,,,,,,,CXL,Diquat,SO 0495,Rape seed
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,TN 0295,Cashew nut
0.001,0.001 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,CXL,Diquat,ML 0106,Milks
0.01,0.01 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,CXL,Diquat,PE 0112,Eggs
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,FP 0009,Pome fruits (group)
0.02,0.02 mg/Kg,2013,46,,2014,(*),,,,,,CXL,Diquat,FT 2352,Cajou (pseudofruit)
0.1,0.1 mg/Kg,2013,46,,2014,,,,,,,CXL,Diquat,VR 0589,Potato
0.01,0.01 mg/Kg,"2013, 2018",51,46,2019,(*),,,,,,CXL,Diquat,PO 0111,"Poultry, edible offal of"
0.01,0.01 mg/Kg,10,44,43,2012,(*),"C,t",,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,PF 0111,Poultry fats
0.05,0.05 mg/Kg,10,43,,2011,,T,,,Except sweet corn,,CXL,Clothianidin,VO 0050,"Fruiting vegetables, other than cucurbits (group)"
0.01,0.01 mg/Kg,10,44,43,2012,(*),C,,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,GC 0651,Sorghum grain
0.5,0.5 mg/Kg,10,44,43,2012,,C,,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,GC 0649,Rice
0.7,0.7 mg/Kg,10,44,43,2012,,"C,t",,,,,CXL,Clothianidin,FB 0269,Grapes
0.4,0.4 mg/Kg,10,44,43,2012,,"C,t",,,,,CXL,Clothianidin,FP 0009,Pome fruits (group)
0.01,0.01 mg/Kg,10,44,43,2012,(*),"C,t",,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,PM 0110,Poultry meat
0.03,0.03 mg/Kg,2014,47,,2015,,T,,,,,CXL,Clothianidin,FI 0326,Avocado
0.02,0.02 mg/Kg,10,44,43,2012,(*),"C,t",,,,,CXL,Clothianidin,MM 0095,Meat (from mammals other than marine mammals)
0.2,0.2 mg/Kg,10,43,,2011,,"c,T",,,,,CXL,Clothianidin,DF 0014,Prunes
0.04,0.04 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,VS 0624,Celery
0.01,0.01 mg/Kg,10,43,,2011,(*),T,,,,,CXL,Clothianidin,VP 0060,Legume vegetables (group)
0.04,0.04 mg/Kg,2014,47,,2015,,T,,,,,CXL,Clothianidin,FI 0345,Mango
0.02,0.02 mg/Kg,10,43,,2011,(*),T,,,,,CXL,Clothianidin,SB 0715,Cacao beans
0.02,0.02 mg/Kg,10,43,,2011,(*),"c,T",,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,GC 0654,Wheat
0.07,0.07 mg/Kg,10,45,43,2013,,T,,,,,CXL,Clothianidin,FC 0001,Citrus fruits (group)
0.4,0.4 mg/Kg,10,44,43,2012,,C,,,,,CXL,Clothianidin,GS 0659,Sugar cane
0.2,0.2 mg/Kg,2014,47,,2015,,T,,,,,CXL,Clothianidin,VP 0061,Beans with pods (Phaseolus spp.) immature pods and succulent seeds)
0.01,0.01 mg/Kg,10,44,43,2012,(*),C,,dry wt,,,CXL,Clothianidin,AS 0651,"Sorghum straw and fodder, dry"
0.04,0.04 mg/Kg,10,44,43,2012,,C,,,Except artichoke and celery,,CXL,Clothianidin,VS 0078,Stalk and stem vegetables
0.01,0.01 mg/Kg,10,44,43,2012,(*),"C,T",,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,VO 0447,Sweet corn (corn-on-the-cob)
0.3,0.3 mg/Kg,2014,47,,2015,,T,,,,,CXL,Clothianidin,HH 0738,Mints
0.2,0.2 mg/Kg,10,43,,2011,,"c,T",,,,,CXL,Clothianidin,MO 0099,"Liver of cattle, goats, pigs & sheep"
0.01,0.01 mg/Kg,10,44,43,2012,(*),"C,t",,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,PE 0112,Eggs
0.1,0.1 mg/Kg,10,43,,2011,,"T,c",,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,PO 0111,"Poultry, edible offal of"
0.01,0.01 mg/Kg,10,43,,2011,(*),T,,dry wt,,,CXL,Clothianidin,AS 0645,Maize fodder (dry)
0.02,0.02 mg/Kg,10,44,43,2012,,,,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,ML 0106,Milks
0.2,0.2 mg/Kg,10,43,,2011,,"T,c",,dry wt,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,AS 0654,"Wheat, hay and/or straw"
0.04,0.04 mg/Kg,10,43,,2011,,"c,T",,,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,GC 0640,Barley
0.2,0.2 mg/Kg,10,43,,2012,,"C,t",,,,,CXL,Clothianidin,JF 0269,Grape juice
0.2,0.2 mg/Kg,10,43,,2011,,"T,c",,dry wt,,Recommended for withdrawal by JMPR (2021),CXL,Clothianidin,AS 0640,"Barley, hay and/or straw"
2.0,2 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,VL 0053,Leafy vegetables
0.07,0.07 mg/Kg,2014,47,,2015,,T,,,,,CXL,Clothianidin,DH 1100,"Hops, dry"
0.02,0.02 mg/Kg,10,43,,2011,,"c,T",,,,,CXL,Clothianidin,GC 0645,Maize
0.02,0.02 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,VD 0070,Pulses (group)
0.02,0.02 mg/Kg,10,43,,2011,(*),T,,,,,CXL,Clothianidin,VC 0045,"Fruiting vegetables, cucurbits (group)"
0.01,0.01 mg/Kg,10,43,,2011,(*),T,,,,,CXL,Clothianidin,FI 0353,Pineapple
0.01,0.01 mg/Kg,10,43,,2011,(*),T,,,,,CXL,Clothianidin,FI 0350,Papaya
0.02,0.02 mg/Kg,10,44,43,2012,(*),"C,t",,,Except liver.,,CXL,Clothianidin,MO 0105,Edible offal (mammalian)
0.05,0.05 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,SB 0716,Coffee beans
0.7,0.7 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,DT 1114,"Tea, green, black (black, fermented and dried)"
0.02,0.02 mg/Kg,10,44,43,2012,(*),"C,t",,,,,CXL,Clothianidin,MF 0100,Mammalian fats (except milk fats)
0.02,0.02 mg/Kg,10,43,,2011,(*),"c,T",,,,,CXL,Clothianidin,SO 0088,Oilseed
0.01,0.01 mg/Kg,10,43,,2011,(*),"c,T",,,,,CXL,Clothianidin,GC 0656,Popcorn
0.05,0.05 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,VS 0620,"Artichoke, globe"
0.2,0.2 mg/Kg,10,43,,2011,,"c,T",,,,,CXL,Clothianidin,FS 0012,Stone fruits (group)
0.02,0.02 mg/Kg,10,44,43,2012,,"C,t",,,,,CXL,Clothianidin,FI 0327,Banana
0.2,0.2 mg/Kg,2010,46,"43,44,45",2014,,"C,T",,,,,CXL,Clothianidin,VR 0075,Root and tuber vegetables (group)
0.2,0.2 mg/Kg,10,43,,2011,,T,,dry wt,,,CXL,Clothianidin,AL 0072,Pea hay or pea fodder (dry)
1.0,1 mg/Kg,10,"43,44",,2012,,"C,t",,,,,CXL,Clothianidin,DF 0269,"Grape, dried (= Currants, Raisins and Sultanas)"
0.07,0.07 mg/Kg,10,43,,2011,,"c,T",,,Except grapes,,CXL,Clothianidin,FB 0018,Berries and other small fruits
0.01,0.01 mg/Kg,10,43,,2011,(*),T,,,,,CXL,Clothianidin,TN 0672,Pecan
0.2,0.2 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,VB 0040,Brassica vegetables (except Brassica leafy vegetables) (group)
0.5,0.5 mg/Kg,10,43,,2011,,T,,,,,CXL,Clothianidin,HS 0444,"Peppers chili, dried"
15.0,15 mg/Kg,2015,48,,2016,,,,,,,CXL,Pyrimethanil,FB 0272,"Raspberries, red, black"
4.0,4 mg/Kg,7,40,,2008,,,Po,,,,CXL,Pyrimethanil,FS 0013,Cherries (subgroup)
0.5,0.5 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,VD 0561,Field pea (dry)
4.0,4 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,FB 0269,Grapes
0.01,0.01 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,ML 0106,Milks
0.05,0.05 mg/Kg,7,40,,2008,(*),,,,,,CXL,Pyrimethanil,MM 0095,Meat (from mammals other than marine mammals)
40.0,40 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,AS 0447,Sweet corn fodder
0.1,0.1 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,MO 0105,Edible offal (mammalian)
4.0,4 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,FS 0245,Nectarine
3.0,3 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,VL 0482,"Lettuce, head"
3.0,3 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,VP 0526,Common bean (pods and/or immature seeds)
3.0,3 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,VA 0389,Spring onion
5.0,5 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,DF 0269,"Grape, dried (= Currants, Raisins and Sultanas)"
1.5,1.5 mg/Kg,2013,46,,2014,,,,,,,CXL,Pyrimethanil,DV 0604,"Ginseng, dried including red ginseng"
0.7,0.7 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,VO 0448,Tomato
3.0,3 mg/Kg,2013,46,,2014,,,,,,,CXL,Pyrimethanil,FB 2009,Low growing berries (subgroup)
3.0,3 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,AL 0072,Pea hay or pea fodder (dry)
0.2,0.2 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,TN 0660,Almonds
0.2,0.2 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,VA 0385,"Onion, bulb"
2.0,2 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,FS 0014,Plums (including fresh prunes) (subgroup)
1.0,1 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,VR 0577,Carrot
12.0,12 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,AM 0660,Almond hulls
0.1,0.1 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,FI 0327,Banana
4.0,4 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,FS 0247,Peach
8.0,8 mg/Kg,2015,48,,2016,,,,,,,CXL,Pyrimethanil,FB 0020,Blueberries
7.0,7 mg/Kg,7,40,,2008,,,Po,,,,CXL,Pyrimethanil,FC 0001,Citrus fruits (group)
0.05,0.05 mg/Kg,7,40,,2008,(*),,,,,,CXL,Pyrimethanil,VR 0589,Potato
3.0,3 mg/Kg,7,40,,2008,,,,,,,CXL,Pyrimethanil,FS 0240,Apricot
0.7,0.7 mg/Kg,2015,48,,2016,,,,,,,CXL,Pyrimethanil,VC 0424,Cucumber
15.0,15 mg/Kg,2013,46,,2014,,,Po,,,,CXL,Pyrimethanil,FP 0009,Pome fruits (group)
15.0,15 mg/Kg,2015,48,,2016,,,,,,,CXL,Pyrimethanil,FB 0264,Blackberries
3.0,3 mg/Kg,2015,48,,2016,,,,,,,CXL,Fluxapyroxad,FS 0013,Cherries (subgroup)
0.5,0.5 mg/Kg,2018,51,,2019,,,,,,,CXL,Fluxapyroxad,SO 0691,Cotton seed
0.2,0.2 mg/Kg,2012,45,,2013,,,(fat),,,,CXL,Fluxapyroxad,MM 0095,Meat (from mammals other than marine mammals)
1.5,1.5 mg/Kg,2015,48,,2016,,,,,,,CXL,Fluxapyroxad,FS 2001,Peaches (including apricots and nectarine) (subgroup)
30.0,30 mg/Kg,2012,45,,2013,,,,,,,CXL,Fluxapyroxad,AS 0647,"Oat straw and fodder, dry"
2.0,2 mg/Kg,2012,45,,2013,,,,,,,CXL,Fluxapyroxad,GC 0647,Oats
7.0,7 mg/Kg,2015,48,,2016,,,(dw),,,,CXL,Fluxapyroxad,AS 0651,"Sorghum straw and fodder, dry"
0.1,0.1 mg/Kg,2012,45,,2013,,,,,,,CXL,Fluxapyroxad,MO 0105,Edible offal (mammalian)
0.02,0.02 mg/Kg,2012,45,,2013,,,,,,,CXL,Fluxapyroxad,PO 0111,"Poultry, edible offal of"
0.7,0.7 mg/Kg,2015,48,,2016,,,,,,,CXL,Fluxapyroxad,GC 0651,Sorghum grain
0.02,0.02 mg/Kg,2012,45,,2013,,,,,,,CXL,Fluxapyroxad,ML 0106,Milks
0.07,0.07 mg/Kg,2018,51,,2019,,,,,,,CXL,Fluxapyroxad,VR 0589,Potato
0.3,0.3 mg/Kg,2012,45,,2013,,,,,,,CXL,Fluxapyroxad,GC 0650,Rye
3.0,3 mg/Kg,2015,48,,2016,,,,,,,CXL,Fluxapyroxad,FI 0327,Banana
2.0,2 mg/Kg,2012,45,,2013,,,,,,,CXL,Fluxapyroxad,VP 0061,Beans with pods (Phaseolus spp.) immature pods and succulent seeds)
