name,pest_id_codex,pesticide,adi,adi_unit,adi_note,vetd_flag,residue,note
Insecticide,312,Afidopyropen,0-0.08,mg/kg bw,,,"For compliance with the MRL for plant commodities: Afidopyropen. For dietary risk assessment for plant commodities: Sum of afidopyropen + dimer of [(3R,6R,6aR,12S,12bR)-3-[(cyclopropanecarbonyl)oxy]-6,12-dihydroxy-4,6a,12b-trimethyl- 11-oxo-9-(pyridin-3-yl)-1,3,4,4a,5,6,6a,12,12a,12b-decahydro-2H,11H-naphtho[2,1-b]pyrano[3,4- e]pyran-4-yl]methyl rac-cyclopropanecarboxylate (M007). For compliance with the MRL for animal commodities: Afidopyropen For dietary risk assessment for animal commodities, excluding liver: Afidopyropen + (3S,4R,4aR,6S, 6aS, 12R,12aS,12bS)-3,6,12-trihydroxy-4-(hydroxymethyl)-4,6a, 12b- trimethyl--9-(pyridin-3-yl)-1, 3,4,4a,5,6,6a,12, 12a,12b-decahydro-2H,11H-benzo- [ƒ] pyrano[4,3- b]chromen-11-one (M001) + Cyclopropane carboxylic acid (CPCA/M061) and (2R)-3-carboxy-2- [(cyclopropyIcarbonyI)oxy]- N, N, N-trimethylpropan-1- aminium chloride (CPCA-carnitine conjugate/M060), expressed as afidopyropen. For dietary risk assessment for animal commodities, liver: Afidopyropen + (3S,4R,4aR,6S, 6aS, 12R,12aS,12bS)-3,6,12-trihydroxy-4-(hydroxymethyl)-4,6a, 12b-trimethyl--9- (pyridin-3-yl)-1, 3,4,4a,5,6,6a,12, 12a,12b-decahydro-2H,11H-benzo- [ƒ] pyrano[4,3-b]chromen-11- one (M001) + Cyclopropane carboxylic acid (CPCA/M061) and (2R)-3-carboxy-2- [(cyclopropyIcarbonyI)oxy]- N, N, N-trimethylpropan-1- aminium chloride (CPCA-carnitine conjugate/M060) + [(3S,4R,4aR,6S,6aS,12R,12aS,12bS)-3-(cyclopropylcarbonyl)oxy]-6,12-dihydroxy- 4,6a,12b-trimethyl-9-(1-oxidopyridin-3-yl)-11-oxo-1,3,4,4a,5,6,6a,12,12a,12b-decahydro-2H, 11H- benzo[f]pyrano[4,3-b]chromen-4-yl]methyl cyclopropane-carboxylate (M017), expressed as afidopyropen. The residue is not fat-soluble.",ARfD: 0.3 mg/kg bw (for general population)
Acaricide,273,Cyflumetofen,0-0.1,mg/kg bw,(2014),N,"For compliance with the MRL for plant commodities: Cyflumetofen. For estimation of dietary intake) for plant commodities: Sum of cyflumetofen and 2-trifluoromethylbenzoic acid, expressed as cyflumetofen. For compliance with the MRL and estimation of dietary intake for animal commodities: Sum of cyflumetofen and 2-trifluoromethylbenzoic acid, expressed as cyflumetofen. The residue is not fat-soluble.",
Fungicide,290,Isofetamid,0-0.05,mg/kg bw,(2016),,"For compliance with MRLs and for dietary risk assessment for plant commodities: Isofetamid. For compliance with MRLs and for dietary risk assessment for animal commodities: Sum of isofetamid and 2-[3-methyl-4-[2-methyl-2-(3-methylthiophene-2-carboxamido) propanoyl]phenoxy]propanoic acid (PPA), expressed as isofetamid. The residue is fat soluble.",
Insecticide,223,Thiacloprid,0-0.01,mg/kg bw,(2006),N,For compliance with MRLs and estimation of dietary intake in plant and animals commodities: Thiacloprid. The residue is not fat soluble.,
Insecticide,146,Cyhalothrin (includes lambda-cyhalothrin),0-0.02,mg/kg bw,(2007),Y,For compliance with the MRL and for dietary risk assessment for plant and animal commodities: Cyhalothrin (sum of all isomers). The residue is fat soluble.,"ADI and ARfD for cyhalothrin and lambda-cyhalothrin (2007). The 2018 JMPR concluded that the new studies do not have any impact on the ADI of 0-0.02 mg/kg bw or the ARfD of 0.02 mg/kg bw established in 2007 and that on the basis of available data, the metabolites evaluated appear to be less acutely toxic orally than the parent compound."
Fungicide,207,Cyprodinil,0-0.03,mg/kg bw,(2003),,For compliance with the MRL and dietary risk assessment for plant and animal commodities: Cyprodinil. The residue is fat-soluble.,
Insecticide,237,Spirodiclofen,0-0.01,mg/kg bw,(2009),N,"For compliance with the MRL and for estimation of dietary intake for plant commodities: Spirodiclofen. For compliance with the MRL for animal commodities: Spirodiclofen. For estimation of dietary intake for animal commodities: Sum of spirodiclofen and spirodiclofen-enol, expressed as spirodiclofen. The residue is fat soluble.",
Insecticide,22,Diazinon,0-0.005,mg/kg bw,(2006),N,For compliance with MRLs and estimation of dietary intake: Diazinon. The residue is fat-soluble.,
Acaricide,219,Bifenazate,0-0.01,mg/kg bw,(2006),N,"For compliance with MRL and for estimation of dietary intake for plant and animal commodities: Sum of bifenazate and bifenazatediazene (diazenecarboxylic acid, 2-(4-methoxy-[1,1'-biphenyl-3-yl] 1-methylethyl ester), expressed as bifenazate. The residue is fat-soluble.",
Acaricide and Insecticide,185,Fenpropathrin,0-0.03,mg/kg bw,(2012),N,For compliance with the MRL and for dietary risk assessment for plant and animal commodities: Fenpropathrin.  The residue is fat soluble.,
Insecticide,173,Buprofezin,0-0.009,mg/kg bw,(2008),N,For compliance with MRLs and for estimation of dietary intake for plant commodities and animal commodities: Buprofezin. The residue is not fat soluble.,Aniline ADI: 0-0.02 mg/kg bw ARfD: 0.02 mg/kg bw
Herbicide,277,Mesotrione,0-0.5,mg/kg bw,(2014),N,For compliance with MRL and for estimation of dietary intake) for animal and plant commodities: Mesotrione. The residue is not fat soluble.,
Acaricide,296,Cyclaniliprole,0-0.04,mg/kg bw,(2017),,"For compliance with the MRL for plant and animal commodities: Cyclaniliprole. For estimation of dietary exposure) for plant commodities: Cyclaniliprole + 3-bromo-2-((2-bromo-4H- pyrazolo[1,5-d]pyrido[3,2-b]-[1,4]oxazin-4-ylidene)amino)-5-chloro-N-(1-cyclopropylethyl)benzamide (NK-1375), expressed as cyclaniliprole equivalents. The molecular weight conversion factor to express NK-1375 in cyclaniliprole equivalents = 1.064. For estimation of dietary exposure) for animal commodities: Cyclaniliprole. The residue is fat soluble.",
Nematocide,265,Fluensulfone,0-0.01,mg/kg bw,(2013),N,"For compliance with MRLs) for plant commodities: Sum of fluensulfone and 3,4,4-trifluorobut-3-ene-1-sulfonic acid (BSA), expressed as fluensulfone equivalents. For estimation of dietary exposure) for plant commodities: Fluensulfone. For compliance with MRLs and for estimation of dietary exposure) for animal commodities: Fluensulfone. Residue is fat-soluble.",(R): Indicates a maximum residue level relating to rotational crops.
Acaricide,241,Etoxazole,0-0.05,mg/kg bw,(2010),,For compliance with the MRL and for estimation of dietary intake) for plant and animal commodities: Etoxazole. The residue is fat soluble.,
Fungicide,221,Boscalid,0-0.04,mg/kg bw,(2006),N,"For compliance with the MRL for plant and animal commodities and for estimation of dietary intake for plant commodities: Boscalid. For estimation of dietary intake) for animal commodities: Sum of boscalid, 2-chloro-N-(4’-chloro-5-hydroxybiphenyl-2-yl)nicotinamide including its conjugate, expressed as boscalid. The residue is fat soluble.",
Acaricide,297,Fenazaquin,0-0.05,mg/kg bw,(2017),,For plant commodities for compliance and for dietary risk assessment: Fenazaquin. For compliance and estimation of dietary exposure for animal commodities: Sum of fenazaquin and the metabolite 2-hydroxy-fenazaquin acid expressed as fenazaquin. The residue is fat soluble.,
Insecticide,282,Flonicamid,0-0.07,mg/kg bw,(2015),,"For compliance with MRLs and estimation for estimation of dietary exposure for plant commodities: Flonicamid For compliance with MRLs and estimation of dietary exposure) for animal commodities: Flonicamid and the metabolite TFNA-AM, expressed as flonicamid. The residue is not fat soluble.",
Acaricide,113,Propargite,0.01,mg/kg bw,(1999),N,For compliance with MRLs and for estimation of dietary intake: Propargite. This definition applies to both plant and animal commodities. The residue is fat-soluble.,
Insecticide,196,Tebufenozide,0-0.02,mg/kg bw,(1996),N,For compliance with MRLs and for estimation of dietary intake for plant and animal commodities: Tebufenozide. The residue is fat-soluble.,
Fungicide,215,Fenhexamid,0-0.2,mg/kg bw,(2005),N,For compliance with MRLs and for estimation of dietary intake in plant and animal commodities: Fenhexamid. The residue is fat-soluble.,
Acaricide and Insecticide,177,Abamectin,0-0.001,mg/kg bw,(2015),Y,For compliance with the MRL and for dietary risk assessment for plant and animal commodities: Avermectin B1a. The residue is fat-soluble.,"The ADI also applies to the 8,9-Z isomer and the 24-hydroxymethyl metabolite of abamectin. The ARfD also applies to the 8,9-Z isomer and the 24-hydroxymethyl metabolite of abamectin."
Insecticide,100,Methamidophos,0-0.004,mg/kg bw,(2002),N,For compliance with MRLs and for estimation of dietary intake for plant and animal commodities: Methamidophos. The residue is not fat-soluble.,
Herbicide,274,Dichlobenil,0-0.01,mg/kg bw,(2014),N,"For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: 2,6-dichlorobenzamide. The residue is not fat soluble.","BAM = 2,6-dichlorobenzamide = fluopicolide. ADI: 0-0.05 mg/kg bw(2014); ARfD: 0.3 mg/kg bw(2014). Based on a re-evaluation of the data, the Meeting withdrew the ADI and ARfD established by the 2009 JMPR as part of the evaluation of fluopicolide. ARfDs for Dichlobenil and BAM apply to women of childbearing age only. FL = indicates values estimated to accommodate residues of 2,6-dichlorobenzamide arising from fluopicolide use. D = indicates values estimated to accommodate residues of 2,6-dichlorobenzamide arising from dichlobenil use."
Fungicide,235,Fluopicolide,0-0.08,mg/kg bw,,,"For compliance with the MRL for plant and animal commodities: Fluopicolide. For estimation of dietary intake for plant and animal commodities:  Fluopicolide and 2,6-dichlorobenzamide measured separately. The residue is fat-soluble.","2,6-dichlorobenzamide: ADI: 0-0.02 mg/kg bw; ARfD: 0.6 mg/kg bw (general population)"
Fungicide,211,Fludioxonil,0-0.4,mg/kg bw,(2004),,"For compliance with MRLs and estimation of dietary intake in plant commodities: Fludioxonil. For compliance with MRLs and estimation of dietary intake in animal commodities: Sum of fludioxonil and metabolites determined as 2,2-difluorobenzo[1,1]dioxole-4-carboxylic acid, expressed as fludioxonil. Fludioxonil is fat-soluble.",
Fungicide,165,Flusilazole,0-0.007,mg/kg bw,(2007),N,For compliance with MRLs and estimation of dietary intake for plant commodities: Flusilazole. For compliance with MRLs and estimation of dietary intake for animal commodities: Flusilazole plus [bis(4-fluorophenyl)methyl]silanol. Flusilazole is fat-soluble.,
Fungicide,133,Triadimefon,0-0.03,mg/kg bw,(1985),N,For compliance with MRLs and estimation of dietary intake: Sum of triadimefon and triadimenol. The residue is fat soluble.,
Fungicide,142,Prochloraz,0-0.01,mg/kg bw,"(1983), confirmed (2001)",N,"For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Sum of prochloraz and its metabolites containing the 2,4,6-trichlorphenol moiety, expressed as prochloraz. The residue is fat-soluble.",
Fungicide,199,Kresoxim-Methyl,0-0.3,mg/kg bw,(2018),N,"For compliance with the MRL for plant commodities: Kresoxim-methyl. For dietary risk assessment for plant commodities: Sum of kresoxim-methyl and metabolites (2E)-(methoxyimino){2-[(2-methylphenoxy)methyl]phenyl}acetic acid (490M1) and (2E)-{2-[(4-hydroxy-2-methylphenoxy)methyl]phenyl}(methoxyimino)acetic acid (490M9) including their conjugates expressed as kresoxim-methyl. For compliance with the MRL and dietary risk assessment for animal commodities: Sum of metabolites (2E)-(methoxyimino){2-[(2-methylphenoxy)methyl]phenyl}acetic acid (490M1), and (2E)-{2-[(4-hydroxy-2-methylphenoxy)methyl]phenyl}(methoxyimino)acetic acid (490M9) expressed as kresoxim-methyl. The residue is not fat-soluble","The 2018 JMPR concluded that the ADI could be applied to the metabolites 490M1 and 490M9 and their conjugates. JMPR also concluded that if future uses of kresoxim-methyl result in an increase of the exposure for metabolite 490M2, a reconsideration of the residue definition for dietary exposure purposes may become necessary."
Insecticide,48,Lindane,0-0.005,mg/kg bw,(2002),N,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Lindane. The residue is fat-soluble.,"Lindane has been re-evaluated within the periodic review by JMPR in 2015, and the CXLs have been converted into  EMRLs in 2016 since Lindane is listed in annex A of the Stockholm convention and its residues are from environmental sources, not the use of the pesticide directly or indirectly on the food or feed."
Fungicide,168,Triadimenol,0-0.03,mg/kg bw,"(1989, 2004)",N,For compliance with MRLs and for the estimation of dietary intake for plant and animal commodities: Sum of triadimefon and triadimenol. triadimefon and triadimenol are fat-soluble.,Source of data resulting from the uses of: TF=triadimefon; TN=triadimenol.
Herbicide,267,Imazapyr,0-3,mg/kg bw,(2013),,For compliance with the MRL and for estimation of dietary exposure) for plant and animal commodities: Imazapyr. The residue is not fat-soluble.,
Herbicide,220,Aminopyralid,0-0.9,mg/kg bw,(2007),N,"For compliance with the MRL and for estimation of dietary intake: Aminopyralid and its conjugates that can be hydrolysed, expressed as aminopyralid.",
Herbicide,257,MCPA,0-0.1,mg/kg bw,(2012),,"For compliance with the MRL for plant and animal commodities: MCPA. For estimation of dietary intake for plant commodities: Sum of MCPA, its conjugates and esters, all expressed as MCPA. For the estimation of dietary intake for animal commodities: Sum of MCPA and its conjugates, expressed as MCPA. The residue is not fat-soluble.",
Herbicide,272,Aminocyclopyrachlor,0-3,mg/kg bw,(2014),N,For compliance with MRL and estimation of dietary intake for animal and plant commodities: Aminocyclopyrachlor. The residue is not fat soluble.,
Herbicide,266,Imazapic,0-0.7,mg/kg bw,(2013),,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Imazapic. Residue is not fat-soluble.,
Insecticide,233,Spinetoram,0-0.05,mg/kg bw,(2008),,For compliance with MRLs for plant and animal commodities: Spinetoram. For estimation of dietary intake for plant and animal commodities: Spinetoram and N-demethyl and N-formyl metabolites of the major spinetoram component. The residue is fat soluble.,
Insecticide,246,Acetamiprid,0-0.07,mg/kg bw,(2011),,"For compliance with the MRL and for estimation of dietary exposure for plant commodities: Acetamiprid. For compliance with the MRL and for estimation of dietary exposure for animal commodities: Sum of acetamiprid and its desmethyl (IM-2-1) metabolite, expressed as acetamiprid. The residue is not fat-soluble.",
Insecticide,217,Novaluron,0-0.01,mg/kg bw,(2005),N,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Novaluron. The residue is fat-soluble.,
Fungicide,224,Difenoconazole,0-0.01,mg/kg bw,(2007),N,"For compliance with the MRL and for estimation of dietary exposure for plant commodities: Difenoconazole.  For compliance with the MRL and for estimation of dietary exposure for animal commodities: Sum of difenoconazole and 1-[2-chloro-4-(4-chloro-phenoxy)-phenyl]-2-(1,2,4-triazol)-1-yl-ethanol), expressed as difenoconazole. Residue is fat-soluble.",
Acaricide,295,Bicyclopyrone,0-0.003,mg/kg bw,(2017),,"For compliance with the MRL and for the estimation of dietary exposure for plant commodities: Sum of bicyclopyrone and its structurally-related metabolites determined as the sum of the common moieties 2-(2-methoxyethoxymethyl)-6-(trifluoromethyl)pyridine-3-carboxylic acid (SYN503780) and (2-(2-hydroxyethoxymethyl)-6-(trifluoromethyl)pyridine-3-carboxylic acid (CSCD686480), expressed as bicyclopyrone. For compliance with the MRL and for the estimation of dietary exposure) for animal commodities: Sum of bicyclopyrone and its structurally-related metabolites determined as the sum of the common moieties 2-(2-methoxyethoxymethyl)-6-(trifluoromethyl)pyridine-3-carboxylic acid (SYN503780) and 2-(2-hydroxyethoxymethyl)-6-(trifluoromethyl)pyridine-3-carboxylic acid (CSCD686480), expressed as bicyclopyrone. The residue is not fat-soluble.",
Fungicide,144,Bitertanol,0.01,mg/kg bw,"(1988), confirmed (1998)",N,Bitertanol (fat-soluble).,
Fungicide,278,Metrafenone,0-0.3,mg/kg bw,(2014),N,For compliance with the MRL and estimation of dietary intake for plant and animal commodities: Metrafenone. The residue is fat soluble.,
Fungicide,208,Famoxadone,0-0.006,mg/kg bw,(2003),N,For compliance with MRLs and for estimation of dietary intake for plant and animal commodities: Famoxadone. The residue is fat soluble.,
Plant growth regulator,106,Ethephon,0-0.05,mg/kg bw,(2015),N,"For plant commodities except cereal grains and straw (for compliance with the MRL and for estimation of dietary intake: Ethephon. For cereal grains and straw (for compliance with the MRL and for estimation of dietary intake): Ethephon and its conjugates, expressed as ethephon. For animal commodities (for compliance with the MRL and for estimation of dietary intake): Ethephon. The residue is not fat-soluble.",
Plant growth regulator,271,Trinexapac-ethyl,0-0.3,mg/kg bw,(2013),,"For compliance with the MRL for plant and animal commodities and for estimation of dietary intake for animal commodities: Trinexapac (acid). For estimation of dietary intake for plant commodities: Trinexapac and its conjugates, expressed as trinexapac acid. The residue is not fat soluble.",
Fungicide,188,Fenpropimorph,0-0.004,mg/kg bw,(2017),N,"For compliance with MRLs and for estimation of dietary exposure for plant commodities: Fenpropimorph. For compliance with the MRLs and for estimation of dietary exposure for animal commodities: 2-methyl-2-{4-[2-methyl-3-(cis-2,6-dimethylmorpholin-4-yl)propyl]phenyl}propionic acid, expressed as fenpropimorph. The residue is not fat soluble.",
Fungicide,110,Imazalil,0-0.03,mg/kg bw,"(1977, 2018)",N,"For compliance with the MRL for plant and animal commodities: Imazalil. For dietary risk assessment for plant commodities: Free and conjugated imazalil. For dietary risk assessment for animal commodities: Sum of imazalil and the metabolite R061000 ((RS)-3-[2-(2,4-dichlorophenyl)-2-(2,3- dihydroxypropoxy)ethyl]imidazolidine- 2,4-dione (+)-1-[2-(2,4-dichlorophenyl)-2-[(2,3-dihydroxypropyl)oxy]ethyl]-2,5-imidazolidinedione), expressed as imazalil equivalents. The residue is not fat-soluble.",
Insecticide,117,Aldicarb,0.003,mg/kg bw,(1992),N,"Plant commodities: Sum of aldicarb, aldicarb sulphoxide and aldicarb sulphone, expressed as aldicarb.",
Plant growth regulator,15,Chlormequat,0-0.05,mg/kg bw,(1997),N,For compliance with MRLs and for estimation of dietary exposure for plant and animal commodities: Sum of chlormequat cation. The residue is not fat-soluble.,
Fungicide,249,Isopyrazam,0-0.06,mg/kg bw,(2011),,"For compliance with the MRL for plant commodities: Isopyrazam (sum of syn-isomer and anti-isomer). For estimation of dietary exposure for plant commodities: Sum of isopyrazam and 3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid [9-(1-hydroxyl-1-methylethyl)-(1RS, 4RS, 9RS)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl]amide expressed as isopyrazam. For compliance with the MRL for estimation of dietary exposure) for animal commodities: Isopyrazam (sum of syn-isomer and anti-isomer). The residue is fat-soluble.",
Insecticide,166,Oxydemeton-Methyl,0-0.0003,mg/kg bw,Group ADI for demeton-S-methyl and related compounds (JMPR 2004),N,"For compliance with MRLs and estimation of dietary intake in plant commodities: Sum of oxydemeton-methyl, demeton-S-methyl and demeton-S-methylsulphon expressed as oxydemeton-methyl. The residue definition and MRLs are based on the use of oxydemeton-methyl only.",
Fungicide,262,Bixafen,0-0.02,mg/kg bw,(2013), ,"For compliance with MRLs for plant commodities: Bixafen. For compliance with MRLs for animal commodities and for dietary risk assessment for plant and animal commodities: Sum of bixafen and N-(3',4'-dichloro-5-fluorobiphenyl-2-yl)-3-(difluoromethyl)-1H-pyrazole-4-carboxamide (bixafen-desmethyl), expressed as bixafen. The residue is fat soluble.",The currently available information on residues in rotational crops was not sufficient to make recommendations on maximum residue levels in plant and animal commodities.
Herbicide,293,Pinoxaden,0-0.1,mg/kg bw,(2016),,"For compliance with the MRL and for dietary risk assessment for plant commodities: Sum of free and conjugated M4 (SYN 505164; 8-(2,6-Diethyl-4-hydroxymethyl-phenyl)-9-hydroxy-1,2,4,5-tetrahydro-pyrazolo[1,2-d][1,4,5]oxadiazepin-7-one), expressed as pinoxaden. For compliance with the MRL and for dietary risk assessment) for animal commodities: M4 (SYN 505164; 8-(2,6-Diethyl-4-hydroxymethyl-phenyl)-9-hydroxy-1,2,4,5-tetrahydro-pyrazolo[1,2-d][1,4,5]oxadiazepin-7-one), expressed as pinoxaden. The residue is not fat soluble.",
Acaricide and Insecticide,294,Spiromesifen,0-0.03,mg/kg bw,(2016),,"For compliance with the MRL for plant and animal commodities: Sum of spiromesifen and 4-hydroxy-3-(2,4,6-trimethylphenyl)-1-oxaspiro[4.4]non-3-en-2-one, expressed as spiromesifen. For dietary risk assessment for plant commodities: Sum of spiromesifen, 4-hydroxy-3-(2,4,6-trimethylphenyl)-1-oxaspiro[4.4]non-3-en-2-one, and 4-hydroxy-3-[4-(hydroxymethyl)-2,6-dimethylphenyl]-1-oxaspiro[4.4]non-3-en-2-one (free and conjugated), all expressed as spiromesifen. For dietary risk assessment) for animal commodities: sum of spiromesifen and 4-hydroxy-3-(2,4,6-trimethylphenyl)-1-oxaspiro[4.4]non-3-en-2-one, expressed as spiromesifen. Residue is fat soluble.",
Insecticide,203,Spinosad,0-0.02,mg/kg bw,(2001),N,"For compliance with MRL and for estimation of dietary intake for plant and animal commodities: Sum of spinosyn A and spinosyn D. The residue is fat-soluble, but the residues in milk should be determined in the whole milk.",
Herbicide,179,Cycloxydim,0-0.07,mg/kg bw,(2009),,"For compliance with the MRLs and estimation of dietary intake for plant and animal commodities: Cycloxydim, metabolites and degradation products which can be oxidized to 3-(3-thianyl) glutaric acid S-dioxide and 3-hydroxy-3-(3-thianyl) glutaric acid S-dioxide, expressed as cycloxydim. The residue is not fat soluble.",
Nematocide,167,Terbufos,0-0.0006,mg/kg bw,(1989),N,"For compliance with MRLs and for estimation of dietary intake in plant and animal commodities: Sum of terbufos, its oxygen analogue and their sulphoxides and sulphones, expressed as terbufos.",No short-term dietary intake was calculated due to insufficient data (JMPR 2003).
Insecticide,202,Fipronil,0-0.0002,mg/kg bw,(2021),N,"Definition of the residue for compliance with the MRL for plant and animal commodities: Sum of fipronil and 5-amino-3-cyano-1-(2,6-dichloro-4-trifluoromethylphenyl)-4- trifluoromethylsulfonylpyrazole (MB46136) expressed in terms of fipronil. Definition of the residue for dietary risk assessment for plant and animal commodities: Sum of fipronil and 5-amino-3-cyano-1-(2,6-dichloro-4-trifluoromethylphenyl)-4- trifluoromethylsulfonylpyrazole (MB46136), 5-amino-3-cyano-1-(2,6-dichloro-4- trifluoromethylphenyl)-4-trifluoromethylthiopyrazole (MB45950) and 5-amino-3-cyano-1-(2,6- dichloro-4-trifluoromethylphenyl)-4-trifluoromethylpyrazole (MB46513) expressed in terms of fipronil. The residue is fat-soluble.",On the basis of the information provided to the JMPR it was concluded that the estimated long-term dietary exposure to residues of fipronil may present a public health concern.
Acaricide,193,Fenpyroximate,0-0.005,mg/kg bw,(2021),,"For compliance with the MRL for plant commodities: Fenpyroximate. For dietary risk assessment for plant commodities and for dietary burden calculations: Sum of parent fenpyroximate and tert-butyl (Z)-α-(1,3-dimethyl-5-phenoxypyrazol-4- ylmethyleneamino-oxy)-p-toluate (its Z-isomer M-1), expressed as fenpyroximate. For compliance with the MRL for animal commodities: Sum of fenpyroximate and (E)-4-[(1,3-dimethyl-5-phenoxypyrazol-4-yl) methyleneaminooxymethyl]benzoic acid (M-3), expressed as fenpyroximate. For dietary risk assessment for animal commodities: Sum of fenpyroximate, 2-hydroxymethyl-2-propyl (E)-4-[(1,3-dimethyl-5-phenoxypyrazol-4-yl)- methylenaminooxymethyl]benzoate (Fen-OH), 2-hydroxy-2-methylpropyl (E)-α-(1,3-dimethyl-5- phenoxypyrazol-4-ylmethyleneamino-oxy)-p-toluate (R-UL-1) and (E)-4-[(1,3-dimethyl-5- phenoxypyrazol-4-yl)methyleneaminooxymethyl]benzoic acid (M-3), expressed as fenpyroximate. The residue is fat-soluble.","The ADI and ARfD can be applied to metabolites M-1, M-3, M-5, M-21, M-22 and Fen-OH (2021). The 2021 Regular JMPR revised the ARfD for fenpyroximate, a new acute dietary risk assessment for all recommendations made by the 2017 and 2018 JMPRs was conducted in addition to those commodities considered by the current Meeting. Based on the revised ARfD, the current Meeting confirmed the 2017 JMPR conclusion that the estimated acute dietary exposure to residues of fenpyroximate for the consumption of commodities from FS 0013 Subgroup of cherries, FS 0247 Peach, VC 0432 Watermelon may present a public health concern. Alternative GAP data were available for plums, so the 2017 JMPR exceedances noted for FS 0014 Plums and dried plum no longer exist. In addition, the current Meeting also concluded, based on the revised ARfD, that the estimated acute dietary exposure to residues of fenpyroximate for the consumption of commodities FP 0226 Apple, FP 0230 Pear, FS 0240 Apricot, VC 0046 Melons (except watermelon), VO 2045 Subgroup of Tomatoes, VO 2046 Subgroup of Eggplants, VP 2060 Subgroup of Beans with pods as previously considered by the 2017 and 2018 JMPRs may present a public health concern."
Acaricide,303,Triflumezopyrim,0-0.2,mg/kg bw,,,"For compliance with the MRL for plant and animal commodities: Triflumezopyrim. For the estimation of dietary exposure for plant commodities: Sum of triflumezopyrim and 3-(trifluoromethyl)benzoic acid (IN-Y2186), expressed as triflumezopyrim. For the estimation of dietary exposure) for animal commodities: Triflumezopyrim. The residue is not fat soluble.",
Insecticide,255,Dinotefuran,0-0.2,mg/kg bw,(2012),,"For compliance with the MRL for plant commodities: Dinotefuran. For estimation of dietary intake for plant commodities: Sum of dinotefuran, 1-methyl-3-(tetrahydro-3furylmethyl) urea (UF) and 1-methyl-3-(tetrahydro-3furylmethyl)guanidium dihydrogen (DN) expressed as dinotefuran. For compliance with the MRL and estimation of dietary intake for animal commodities: Sum of dinotefuran, 1-methyl-3-(tetrahydro-3furylmethyl) urea (UF) expressed as dinotefuran. The residue is not fat soluble.",
"Acaricide, Insecticide and Nematocide",96,Carbofuran,0-0.001,mg/kg bw,(2008),,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Carbofuran and 3-hydroxy carbofuran expressed as carbofuran. The residue is not fat-soluble.,
Insecticide,95,Acephate,0-0.03,mg/kg bw,(2005),N,For compliance with MRL for plant and animal commodities: Acephate. For estimation of dietary intake for plant and animal commodities: Acephate and methamidophos. The residue is not fat soluble.,
Herbicide,287,Quinclorac,0-0.4,mg/kg bw,(2015),,For compliance with MRL for plant commodities: Quinclorac plus quinclorac conjugates. For the estimation of dietary exposure for plant commodities: Quinclorac plus quinclorac conjugate plus quinclorac methyl ester expressed as quinclorac. For compliance with the MRL and estimating dietary exposure for animal commodities: quinclorac plus quinclorac conjugates. The residue is fat-soluble,
Insecticide,145,Carbosulfan,0-0.01,mg/kg bw,(1986),,For compliance with MRLs and for estimation of dietary intake for plant and animal commodities: Carbosulfan.,
Fungicide,205,Flutolanil,0.09,mg/kg bw,(2002),,"For compliance with MRL and for estimation of dietary intake for plant commodities: Flutolanil. For compliance with MRL and for estimation of dietary intake for animal commodities: Flutolanil and transformation products containing the 2-trifluoromethylbenzoic acid moiety, expressed as flutolanil. The residue is not fat-soluble.",
Insecticide,184,Etofenprox,0-0.03,mg/kg bw,(2011),,For compliance with the MRL and for estimation of dietary intake for plant and animal commodities: Etofenprox. The residue is fat soluble.,"CCPR recalled that the compound was no longer supported at the international level. However, as the compound has not yet been scheduled for period re-evaluation, CCPR decided to postpone consideration of this compound (36-162)."
Insecticide,27,Dimethoate,0-0.001,mg/kg bw,"(2019, new)",N,Residue definition for compliance with the MRL in plant and animal commodities: Dimethoate and omethoate (measured and reported separately). Residue definition for dietary risk assessment for plant and animal commodities: The Meeting was unable to recommend a definition for dietary risk assessment. The residue is not fat-soluble.,JMPR (2019) reaffirmed the ARfD established in 2003
Insecticide,204,Esfenvalerate,0-0.02,mg/kg bw,(2002),,Sum of fenvalerate isomers (fat-soluble).,
Insecticide,126,Oxamyl,0-0.009,mg/kg bw,(2017),N,For compliance with the MRL and for estimation of dietary exposure for plant and animal commodities: Oxamyl. The residue is not fat-soluble,
Insecticide,122,Amitraz,0.01,mg/kg bw,(1998),N,"Sum of amitraz and N-(2,4-dimethylphenyl)-N'-methylformamidine calculated as N-(2,4-dimethylphenyl)-N'-methylformamidine.",
Acaricide and Insecticide,32,Endosulfan,0.006,mg/kg bw,(1998),N,"For compliance with MRL and for estimation of dietary intake for animal and plant commodities: Sum of alpha endosulfan, beta endosulfan and endosulfan sulfate. The residue is fat-soluble.",
Insecticide,135,Deltamethrin,0-0.01,mg/kg bw,"(1982), confirmed (2000)",Y,For compliance with MRLs and for dietary risk assessment for plant and animal commodities: Sum of deltamethrin and its α-R- and trans- isomers. The residue is fat soluble.,
